year,date,Open,High,Low,Close,Volume
2007,2007-07-01 13:54:37.108680960+00:00,1476.430416783842,1484.655298542937,1467.4963090503998,1476.6566551575934,3214179323.588121
2008,2008-07-01 05:39:15.998543872+00:00,1222.873183713473,1236.4897624707894,1205.8763309909393,1220.8951492358394,5022018263.280071
2009,2009-07-01 09:18:14.046479872+00:00,945.7494289609976,955.0939613384584,936.9349340008758,946.7344959172409,5585075265.236957
2010,2010-07-01 08:13:01.452643584+00:00,1138.7447063299285,1145.9636636894606,1130.5632112202245,1139.3078900473092,4582302503.308667
2011,2011-07-01 07:12:48.750928640+00:00,1268.8105564726427,1278.3096140947912,1258.5207856404033,1268.8875031528362,4099690630.840111
2012,2012-07-01 06:55:30.930191104+00:00,1378.8603627380246,1386.0352721674142,1371.4676310638295,1379.5624984929602,3636285570.4734497
2013,2013-07-01 07:38:23.325358848+00:00,1641.0265174410415,1648.338569319014,1634.4646094688712,1642.511555572064,3364006716.647515
2014,2014-07-01 10:16:24.525543168+00:00,1930.0023794928245,1938.0326090984338,1921.6302842637476,1930.66697738087,3351573224.1795197
2015,2015-07-01 09:58:14.046479872+00:00,2061.3717487253216,2071.959004900951,2049.4535834244575,2061.1979798328616,3656039291.828055
2016,2016-07-01 04:48:36.451900672+00:00,2091.8908429584003,2101.1781357056498,2081.374620580655,2092.388194378268,3916478065.1509376
2017,2017-07-01 11:15:41.532289280+00:00,2447.3829130888867,2453.456940536819,2440.9817313046647,2448.216635322968,3421201439.2911625
2018,2018-07-01 11:21:27.012987136+00:00,2746.4694824776016,2761.34609229126,2728.633994060561,2744.681040743238,3645770235.717753
2019,2019-07-01 08:34:37.740943360+00:00,2910.6964347271237,2922.6392917021367,2898.6337630472067,2912.496596662699,3563312698.3264318
2020,2020-07-01 07:48:48.332194048+00:00,3218.440128145691,3242.727527589958,3191.3619081437078,3218.500299383537,4914541634.79722
2021,2021-07-01 08:13:01.452643328+00:00,4264.626381906943,4285.284930269349,4244.414958106457,4266.774387921485,4428405770.82611
2022,2022-07-01 07:30:08.231448320+00:00,4102.831431457823,4137.006474184095,4062.9369302707023,4100.699789268314,4616741435.586248
2023,2023-07-01 11:43:01.176855296+00:00,4281.235981429286,4303.996548484104,4260.639563165941,4284.246558566923,4006632407.6256185
2024,2024-06-14 14:59:31.433542400+00:00,5354.411025709819,5379.595586041179,5331.399332416015,5355.316646546503,3878471004.6806736
