year,month,date,Open,High,Low,Close,Volume
1939,6,1939-06-16 05:05:27.272727296+00:00,11.41500000520186,11.41500000520186,11.41500000520186,11.41500000520186,0.0
1939,7,1939-07-17 00:24:00+00:00,11.731000089645386,11.731000089645386,11.731000089645386,11.731000089645386,0.0
1939,8,1939-08-16 04:00:00+00:00,11.533043405284053,11.533043405284053,11.533043405284053,11.533043405284053,0.0
1939,9,1939-09-16 12:39:00+00:00,12.807499933242799,12.807499933242799,12.807499933242799,12.807499933242799,0.0
1939,10,1939-10-16 08:25:42.857142912+00:00,12.904285703386579,12.904285703386579,12.904285703386579,12.904285703386579,0.0
1939,11,1939-11-15 23:00:00+00:00,12.656999969482422,12.656999969482422,12.656999969482422,12.656999969482422,0.0
1939,12,1939-12-15 12:12:00+00:00,12.357499933242797,12.357499933242797,12.357499933242797,12.357499933242797,0.0
1940,1,1940-01-16 12:38:10.909090944+00:00,12.307727250185879,12.307727250185879,12.307727250185879,12.307727250185879,0.0
1940,2,1940-02-15 10:03:09.473684224+00:00,12.22105262154027,12.22105262154027,12.22105262154027,12.22105262154027,0.0
1940,3,1940-03-15 15:48:00+00:00,12.149000072479248,12.149000072479248,12.149000072479248,12.149000072479248,0.0
1940,4,1940-04-15 03:49:05.454545408+00:00,12.265909021550959,12.265909021550959,12.265909021550959,12.265909021550959,0.0
1940,5,1940-05-15 21:27:16.363636352+00:00,10.552272709933193,10.552272709933193,10.552272709933193,10.552272709933193,0.0
1940,6,1940-06-15 16:00:00+00:00,9.662999963760376,9.662999963760376,9.662999963760376,9.662999963760376,0.0
1940,7,1940-07-16 08:21:49.090909056+00:00,9.995909083973277,9.995909083973277,9.995909083973277,9.995909083973277,0.0
1940,8,1940-08-16 05:05:27.272727296+00:00,10.182272650978781,10.182272650978781,10.182272650978781,10.182272650978781,0.0
1940,9,1940-09-16 01:39:00+00:00,10.632000064849853,10.632000064849853,10.632000064849853,10.632000064849853,0.0
1940,10,1940-10-16 05:00:00+00:00,10.7243477779886,10.7243477779886,10.7243477779886,10.7243477779886,0.0
1940,11,1940-11-16 13:00:00+00:00,10.980000019073486,10.980000019073486,10.980000019073486,10.980000019073486,0.0
1940,12,1940-12-15 17:34:17.142857088+00:00,10.531428427923293,10.531428427923293,10.531428427923293,10.531428427923293,0.0
1941,1,1941-01-17 06:05:27.272727296+00:00,10.538636380975897,10.538636380975897,10.538636380975897,10.538636380975897,0.0
1941,2,1941-02-15 21:25:15.789473664+00:00,9.882105225010923,9.882105225010923,9.882105225010923,9.882105225010923,0.0
1941,3,1941-03-16 10:42:51.428571392+00:00,9.955714362008232,9.955714362008232,9.955714362008232,9.955714362008232,0.0
1941,4,1941-04-15 17:25:42.857142912+00:00,9.640952382768903,9.640952382768903,9.640952382768903,9.640952382768903,0.0
1941,5,1941-05-15 13:08:34.285714304+00:00,9.429047675359817,9.429047675359817,9.429047675359817,9.429047675359817,0.0
1941,6,1941-06-15 09:42:51.428571392+00:00,9.759523800441197,9.759523800441197,9.759523800441197,9.759523800441197,0.0
1941,7,1941-07-16 17:05:27.272727296+00:00,10.271363605152477,10.271363605152477,10.271363605152477,10.271363605152477,0.0
1941,8,1941-08-15 22:17:08.571428608+00:00,10.216190474373954,10.216190474373954,10.216190474373954,10.216190474373954,0.0
1941,9,1941-09-15 18:57:08.571428608+00:00,10.244761830284482,10.244761830284482,10.244761830284482,10.244761830284482,0.0
1941,10,1941-10-16 17:00:00+00:00,9.810454541986639,9.810454541986639,9.810454541986639,9.810454541986639,0.0
1941,11,1941-11-16 09:14:07.058823552+00:00,9.367058866164264,9.367058866164264,9.367058866164264,9.367058866164264,0.0
1941,12,1941-12-15 10:27:16.363636352+00:00,8.756818077780984,8.756818077780984,8.756818077780984,8.756818077780984,0.0
1942,1,1942-01-16 23:17:08.571428608+00:00,8.935714449201312,8.935714449201312,8.935714449201312,8.935714449201312,0.0
1942,2,1942-02-14 08:20:00+00:00,8.653888914320204,8.653888914320204,8.653888914320204,8.653888914320204,0.0
1942,3,1942-03-16 02:54:32.727272704+00:00,8.189090945503928,8.189090945503928,8.189090945503928,8.189090945503928,0.0
1942,4,1942-04-16 10:51:25.714285696+00:00,7.83523804800851,7.83523804800851,7.83523804800851,7.83523804800851,0.0
1942,5,1942-05-15 22:17:08.571428608+00:00,7.929047629946754,7.929047629946754,7.929047629946754,7.929047629946754,0.0
1942,6,1942-06-15 02:54:32.727272704+00:00,8.324999982660467,8.324999982660467,8.324999982660467,8.324999982660467,0.0
1942,7,1942-07-16 12:20:52.173913088+00:00,8.63565212747325,8.63565212747325,8.63565212747325,8.63565212747325,0.0
1942,8,1942-08-16 09:42:51.428571392+00:00,8.59047608148484,8.59047608148484,8.59047608148484,8.59047608148484,0.0
1942,9,1942-09-15 21:08:34.285714304+00:00,8.682857195536295,8.682857195536295,8.682857195536295,8.682857195536295,0.0
1942,10,1942-10-16 09:42:51.428571392+00:00,9.313809667314802,9.313809667314802,9.313809667314802,9.313809667314802,0.0
1942,11,1942-11-15 17:20:00+00:00,9.457222090827095,9.457222090827095,9.457222090827095,9.457222090827095,0.0
1942,12,1942-12-15 18:10:54.545454592+00:00,9.518181800842285,9.518181800842285,9.518181800842285,9.518181800842285,0.0
1943,1,1943-01-16 16:00:00+00:00,10.08900008201599,10.08900008201599,10.08900008201599,10.08900008201599,0.0
1943,2,1943-02-13 06:40:00+00:00,10.678333441416422,10.678333441416422,10.678333441416422,10.678333441416422,0.0
1943,3,1943-03-15 19:39:07.826086912+00:00,11.065217391304348,11.065217391304348,11.065217391304348,11.065217391304348,0.0
1943,4,1943-04-15 21:08:34.285714304+00:00,11.450952348254976,11.450952348254976,11.450952348254976,11.450952348254976,0.0
1943,5,1943-05-15 16:00:00+00:00,11.894000053405762,11.894000053405762,11.894000053405762,11.894000053405762,0.0
1943,6,1943-06-15 11:38:10.909090944+00:00,12.08499999479814,12.08499999479814,12.08499999479814,12.08499999479814,0.0
1943,7,1943-07-16 17:42:51.428571392+00:00,12.3609524227324,12.3609524227324,12.3609524227324,12.3609524227324,0.0
1943,8,1943-08-16 02:54:32.727272704+00:00,11.739091006192295,11.739091006192295,11.739091006192295,11.739091006192295,0.0
1943,9,1943-09-16 07:25:42.857142912+00:00,11.986190478006998,11.986190478006998,11.986190478006998,11.986190478006998,0.0
1943,10,1943-10-16 02:48:00+00:00,11.869000053405761,11.869000053405761,11.869000053405761,11.869000053405761,0.0
1943,11,1943-11-15 11:34:44.210526336+00:00,11.332105285242983,11.332105285242983,11.332105285242983,11.332105285242983,0.0
1943,12,1943-12-16 12:20:52.173913088+00:00,11.480434707973314,11.480434707973314,11.480434707973314,11.480434707973314,0.0
1944,1,1944-01-16 09:42:51.428571392+00:00,11.848095303490048,11.848095303490048,11.848095303490048,11.848095303490048,0.0
1944,2,1944-02-14 10:00:00+00:00,11.766499996185303,11.766499996185303,11.766499996185303,11.766499996185303,0.0
1944,3,1944-03-16 12:20:52.173913088+00:00,12.096086958180303,12.096086958180303,12.096086958180303,12.096086958180303,0.0
1944,4,1944-04-16 02:44:12.631579008+00:00,11.878420980353104,11.878420980353104,11.878420980353104,11.878420980353104,0.0
1944,5,1944-05-15 04:00:00+00:00,12.100909146395596,12.100909146395596,12.100909146395596,12.100909146395596,0.0
1944,6,1944-06-16 05:05:27.272727296+00:00,12.678181778300893,12.678181778300893,12.678181778300893,12.678181778300893,0.0
1944,7,1944-07-17 00:24:00+00:00,13.008000040054322,13.008000040054322,13.008000040054322,13.008000040054322,0.0
1944,8,1944-08-16 04:00:00+00:00,12.819999943608822,12.819999943608822,12.819999943608822,12.819999943608822,0.0
1944,9,1944-09-16 12:24:00+00:00,12.596999883651733,12.596999883651733,12.596999883651733,12.596999883651733,0.0
1944,10,1944-10-16 07:25:42.857142912+00:00,12.895238149733771,12.895238149733771,12.895238149733771,12.895238149733771,0.0
1944,11,1944-11-15 22:00:00+00:00,12.821999979019164,12.821999979019164,12.821999979019164,12.821999979019164,0.0
1944,12,1944-12-15 11:12:00+00:00,13.085000038146973,13.085000038146973,13.085000038146973,13.085000038146973,0.0
1945,1,1945-01-16 11:38:10.909090944+00:00,13.485454559326172,13.485454559326172,13.485454559326172,13.485454559326172,0.0
1945,2,1945-02-14 14:40:00+00:00,13.946111096276177,13.946111096276177,13.946111096276177,13.946111096276177,0.0
1945,3,1945-03-15 13:08:34.285714304+00:00,13.937142780848912,13.937142780848912,13.937142780848912,13.937142780848912,0.0
1945,4,1945-04-15 09:42:51.428571392+00:00,14.265714372907366,14.265714372907366,14.265714372907366,14.265714372907366,0.0
1945,5,1945-05-15 12:43:38.181818240+00:00,14.813636389645664,14.813636389645664,14.813636389645664,14.813636389645664,0.0
1945,6,1945-06-15 22:17:08.571428608+00:00,15.086666742960611,15.086666742960611,15.086666742960611,15.086666742960611,0.0
1945,7,1945-07-16 16:34:17.142857088+00:00,14.781428564162482,14.781428564162482,14.781428564162482,14.781428564162482,0.0
1945,8,1945-08-16 14:17:08.571428608+00:00,14.8257143838065,14.8257143838065,14.8257143838065,14.8257143838065,0.0
1945,9,1945-09-16 07:47:22.105263104+00:00,15.835789379320646,15.835789379320646,15.835789379320646,15.835789379320646,0.0
1945,10,1945-10-16 00:38:10.909090944+00:00,16.49363613128662,16.49363613128662,16.49363613128662,16.49363613128662,0.0
1945,11,1945-11-16 16:22:06.315789440+00:00,17.040000313206722,17.040000313206722,17.040000313206722,17.040000313206722,0.0
1945,12,1945-12-15 13:50:31.578947328+00:00,17.319473868922184,17.319473868922184,17.319473868922184,17.319473868922184,0.0
1946,1,1946-01-16 21:21:49.090909056+00:00,18.041363629427824,18.041363629427824,18.041363629427824,18.041363629427824,0.0
